date,predicted_Usage_kWh
2019-01-01,3015.288302
2019-01-02,3728.0014834
2019-01-03,4886.668085
2019-01-04,4606.369185
2019-01-05,2968.4751524
2019-01-06,2648.0656334
2019-01-07,3833.859245
2019-01-08,4883.5581355
2019-01-09,4544.4405857
2019-01-10,4864.7179684
2019-01-11,4135.204675
2019-01-12,3926.6281361
2019-01-13,2987.5851031
2019-01-14,4814.7542998
2019-01-15,4392.3715929
2019-01-16,4777.8377865
2019-01-17,4117.8251898
2019-01-18,4844.7001901
2019-01-19,4041.6273755
2019-01-20,2781.8573128
2019-01-21,3909.0778947
2019-01-22,4698.9033025
2019-01-23,4657.8659705
2019-01-24,4718.3634201
2019-01-25,3922.005999
2019-01-26,3058.5167314
2019-01-27,2496.827172
2019-01-28,3698.8718446
2019-01-29,4389.6994838
2019-01-30,5042.9199335
2019-01-31,5317.669425
2019-02-01,4699.916312
2019-02-02,2949.7726329
2019-02-03,2773.9556721
2019-02-04,3893.3033141
2019-02-05,3990.6810951
2019-02-06,3998.45995
2019-02-07,4967.2841006
2019-02-08,4910.8661542
2019-02-09,3081.9242382
2019-02-10,3326.1359675
2019-02-11,4589.9136363
2019-02-12,4636.7388688
2019-02-13,4731.1203162
2019-02-14,4058.8167556
2019-02-15,4106.2025617
2019-02-16,3883.7154836
2019-02-17,2731.1707123
2019-02-18,3834.426593
2019-02-19,4125.5341563
2019-02-20,4741.3211652
2019-02-21,4031.5837582
2019-02-22,4710.2345905
2019-02-23,4079.7991986
2019-02-24,2476.3287258
2019-02-25,3396.2076291
2019-02-26,3696.288803
2019-02-27,4042.6832759
2019-02-28,4012.8958653
2019-03-01,3383.86792
2019-03-02,2356.8707821
2019-03-03,2225.1791296
2019-03-04,3275.4059688
2019-03-05,4317.7099051
2019-03-06,3837.4352625
2019-03-07,4002.9975241
2019-03-08,3958.0431776
2019-03-09,2813.263991
2019-03-10,2272.3504076
2019-03-11,3131.9051051
2019-03-12,3254.7429812
2019-03-13,4064.0450483
2019-03-14,3636.330547
2019-03-15,3639.6919324
2019-03-16,2686.5760417
2019-03-17,2299.4600635
2019-03-18,3145.8033578
2019-03-19,3262.5918477
2019-03-20,3704.2040676
2019-03-21,3659.9443401
2019-03-22,3620.6501093
2019-03-23,2542.7467379
2019-03-24,2085.9266213
2019-03-25,2821.9379495
2019-03-26,2940.5493648
2019-03-27,2957.7547587
2019-03-28,3136.7408733
2019-03-29,3133.9471456
2019-03-30,2244.6908224
2019-03-31,2116.2918898
2019-04-01,2924.5349942
2019-04-02,3260.4865019
2019-04-03,4050.7033103
2019-04-04,4003.8389714
2019-04-05,3711.0873045
2019-04-06,2758.4819089
2019-04-07,2290.8734959
2019-04-08,3260.1331223
2019-04-09,4275.1274602
2019-04-10,3712.4292999
2019-04-11,3892.1196332
2019-04-12,3648.3412672
2019-04-13,2726.926821
2019-04-14,2265.2885285
2019-04-15,2995.3087222
2019-04-16,3745.9169346
2019-04-17,3714.6308077
2019-04-18,3612.0846693
2019-04-19,3566.0299645
2019-04-20,2500.9414167
2019-04-21,2100.9831138
