month,total_kWh,average_kWh,max_kWh,min_kWh
1,126710.5566145,42.577471980678766,112.61517,3.8573444
2,110477.2815321,41.10017914140625,106.927284,2.4055243
3,96529.6556734,32.436040212836026,105.61537,2.0438879
4,94748.7264344,32.898863345277775,109.68366,1.350787
5,98532.5221922,33.10904643555108,108.4755,1.3126332
6,89494.5311854,31.074489994930556,108.02295,0.8572355
7,95510.465563,32.093570417674734,110.79279,1.394508
8,94537.5411239,31.766646883030912,109.16114,1.7466054
9,90709.0684949,31.496204338506946,108.25254,1.5319313
10,97105.7756957,32.62962893000672,109.224304,2.2714639
11,94121.2652307,32.680994871770835,108.9136,2.025549
12,97036.50878956,32.606353759932794,108.24054,0.97249746
